filename,curve_number,position_index,map_x_position,map_y_position,linear_x_min_used_nm,linear_x_max_used_nm,linear_first_excluded_above_nm,linear_T,linear_range_score,linear_slope_bruker_N_per_m,bacterial_spring_constant_N_per_m,bacterial_spring_constant_nN_per_um,linear_model_x_slope_N_per_m,linear_intercept_nN,linear_rmsd_custom_pN,elasticity_x_min_used_nm,elasticity_x_max_used_nm,elasticity_last_excluded_below_nm,elasticity_T,elasticity_contact_T,elasticity_range_score,youngs_modulus_MPa,contact_point_x_nm,contact_point_y_measured_nN,contact_point_y_fit_nN,elasticity_baseline_pN,elasticity_rms_bruker_pN,elasticity_rmsd_custom_pN,max_indentation_x_nm,max_indentation_y_nN
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_11.jpk-qi-series,12,2069,-0.001728735,-0.002071333,-47.37755153,-25.15181282,-24.84450387,115,1.82E-15,0.021537018,0.016428653,16.42865327,-0.021537018,-0.021742314,19.01975512,-24.84450387,384.3687485,-25.15181282,1685,185,1.44E-07,0.898713143,15.01368304,-2.81E-05,0.000800171,0.800170875,19.54705713,19.52964844,-47.37755153,1.013487903
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_12.jpk-qi-series,13,2070,-0.00172868,-0.002071333,-57.84136141,-25.2282005,-24.89571098,167,5.83E-15,0.02077383,0.015980806,15.98080552,-0.02077383,-0.205662848,18.83125466,-33.59557706,373.367188,-33.88693854,1678,182,9.90E-09,0.898849516,5.786198659,0.009925354,-0.001696304,-1.696303943,18.5834659,18.56684631,-57.84136141,0.979468115
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_13.jpk-qi-series,14,2071,-0.001728625,-0.002071333,-52.25292859,-28.25049496,-27.99381552,123,2.00E-15,0.020819569,0.01600786,16.00785984,-0.020819569,-0.103043211,24.18126521,-26.24015939,379.3899352,-26.67119673,1669,168,2.24E-07,1.015971649,9.727146227,0.005463499,-0.000580808,-0.580808198,19.71881202,19.70108193,-52.25292859,1.011754955
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_14.jpk-qi-series,15,2072,-0.001728571,-0.002071333,-60.66200895,-36.75623823,-36.55784054,117,2.94E-15,0.018113959,0.014358816,14.35881638,-0.018113959,-0.109192672,20.98568237,-23.41045614,371.646681,-23.52510004,1619,157,2.65E-08,0.902921308,11.2570574,-0.018891536,-0.001297795,-1.297794708,18.84576951,18.82830084,-60.66200895,0.992926935
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_15.jpk-qi-series,16,2132,-0.001728789,-0.002071279,-72.83366846,-45.71006204,-45.3848762,133,1.78E-14,0.018487277,0.014592397,14.59239744,-0.018487277,-0.325827435,15.39448639,-23.51103066,359.1478553,-23.67640899,1564,73,3.50E-07,1.758287495,-7.395923719,0.015556147,0.00015631,0.156310476,19.07638614,19.05808159,-72.83366846,0.980122751
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_18.jpk-qi-series,19,2135,-0.001728625,-0.002071279,-59.84866932,-35.40232972,-35.0378482,120,3.78E-15,0.0184009,0.01453853,14.53852963,-0.0184009,-0.091916678,14.06181978,-17.7560921,372.2723415,-18.00665282,1597,105,7.37E-08,1.699333032,5.013942673,0.008226035,0.000336365,0.336364561,18.42765723,18.41034071,-59.84866932,0.99439762
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_19.jpk-qi-series,20,2136,-0.001728571,-0.002071279,-58.49567308,-25.26444864,-24.89832815,170,1.40E-15,0.022134174,0.016773856,16.77385564,-0.022134174,-0.279713513,18.35630537,-22.68587667,374.0364481,-22.90833281,1620,146,3.76E-09,0.563987262,10.22189353,-0.025434814,-0.00088255,-0.882549691,19.0405218,19.02288351,-58.49567308,1.008274129
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_22.jpk-qi-series,23,2198,-0.00172868,-0.002071224,-77.07920974,-28.13112136,-27.89169957,232,4.08E-15,0.015391997,0.012593443,12.59344252,-0.015391997,-0.198684094,22.2836303,-46.12203548,354.7568693,-46.63701807,1655,236,1.94E-08,0.530731346,6.308043347,0.004449327,0.000267733,0.267732939,17.6860745,17.67003756,-77.07920974,0.989718491
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_23.jpk-qi-series,24,2199,-0.001728625,-0.002071224,-65.18658496,-25.14447709,-24.98409559,203,5.45E-16,0.020457159,0.015792743,15.79274294,-0.020457159,-0.33056262,22.4942254,-25.72238046,367.7672645,-26.09652983,1602,119,6.51E-07,0.585385641,1.676618013,0.000513657,3.32E-05,0.033225411,19.29029379,19.27222325,-65.18658496,1.011937708
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_24.jpk-qi-series,25,2200,-0.001728571,-0.002071224,-54.95372597,-28.10492459,-28.08724495,134,6.71E-15,0.019981167,0.015507553,15.50755292,-0.019981167,-0.085801389,14.84571792,-17.40598109,376.5856441,-17.70468617,1611,109,1.13E-09,1.068772206,6.490851095,-0.008716546,0.002159864,2.159863657,19.05464146,19.03689144,-54.95372597,1.020946953
